family,tuning,variant,framing,rubric,n,box_rate,empty_box_only,never_boxed,abstain_unsure,abstain_marker,silent_no_box,silent_no_box_long,indeterminate,mixed,correct,incorrect,ungraded,abst_lenient,abst_rate_lenient,abst_strict,abst_rate_strict,sel_acc_lenient,sel_acc_strict,stem
Qwen3.5-9B,base,conseq_correct_abstain,r_0.5,"(10,-5,0)",100,100.0,0,0,37,0,0,0,0,6,7,56,0,37,37.0,37,37.0,11.11111111111111,11.11111111111111,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_correct_abstain_r10_-5_0
Qwen3.5-9B,base,conseq_correct_abstain,r_1,"(1,-1,0)",100,98.0,0,2,36,0,2,1,0,7,11,51,0,38,38.0,36,36.0,17.741935483870968,17.1875,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_correct_abstain_r1_-1_0
Qwen3.5-9B,base,conseq_correct_abstain,r_10,"(1,-10,0)",100,97.0,0,3,35,0,3,2,0,3,7,55,0,38,38.0,35,35.0,11.290322580645162,10.76923076923077,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_correct_abstain_r1_-10_0
Qwen3.5-9B,base,conseq_correct_abstain,r_abstain,"(-1,-10,10)",99,97.97979797979798,0,2,30,0,2,1,0,0,7,60,0,32,32.323232323232325,30,30.303030303030305,10.447761194029852,10.144927536231885,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_correct_abstain_r-1_-10_10
Qwen3.5-9B,base,conseq_always_submit,ultra_cautious,,100,96.0,0,4,10,0,4,1,0,3,24,62,0,14,14.0,10,10.0,27.906976744186046,26.666666666666668,Qwen3.5-9B-base-ultra_cautious_basemodel_fs-conseq_always_submit
Qwen3.5-9B,base,conseq_always_submit,QP4,,100,99.0,0,1,10,0,1,1,0,2,17,72,0,11,11.0,10,10.0,19.10112359550562,18.88888888888889,Qwen3.5-9B-base-QP4_basemodel_fs-conseq_always_submit
Qwen3.5-9B,base,conseq_always_submit,QP7,,100,98.0,0,2,3,0,2,0,0,0,21,74,0,5,5.0,3,3.0,22.105263157894736,21.649484536082475,Qwen3.5-9B-base-QP7_basemodel_fs-conseq_always_submit
Qwen3.5-9B,base,conseq_always_submit,r_0,"(1,0,0)",100,100.0,0,0,7,0,0,0,0,0,20,73,0,7,7.0,7,7.0,21.50537634408602,21.50537634408602,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_always_submit_r1_0_0
Qwen3.5-9B,base,conseq_always_submit,r_0.1,"(10,-1,0)",99,98.98989898989899,0,1,7,0,1,0,0,2,21,70,0,8,8.080808080808081,7,7.070707070707071,23.076923076923077,22.82608695652174,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_always_submit_r10_-1_0
Qwen3.5-9B,base,conseq_always_submit,r_0.5,"(10,-5,0)",100,99.0,0,1,7,0,1,0,0,4,22,70,0,8,8.0,7,7.0,23.91304347826087,23.655913978494624,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_always_submit_r10_-5_0
Qwen3.5-9B,base,conseq_always_submit,r_1,"(1,-1,0)",99,98.98989898989899,0,1,6,0,1,0,0,1,23,69,0,7,7.070707070707071,6,6.0606060606060606,25.0,24.731182795698924,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_always_submit_r1_-1_0
Qwen3.5-9B,base,conseq_always_submit,r_10,"(1,-10,0)",100,96.0,0,4,6,0,4,0,0,2,19,71,0,10,10.0,6,6.0,21.11111111111111,20.21276595744681,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_always_submit_r1_-10_0
Qwen3.5-9B,base,conseq_always_submit,r_abstain,"(-1,-10,10)",100,97.0,1,2,9,0,3,2,0,0,18,70,0,12,12.0,9,9.0,20.454545454545453,19.78021978021978,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_always_submit_r-1_-10_10
