model,model_display,bin_index,bin_label,n,correct,mean_confidence,candidate_accuracy,absolute_calibration_gap,ece_contribution,accuracy_ci_low,accuracy_ci_high
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,9,90–100%,375,248,0.9866666666666667,0.6613333333333333,0.32533333333333336,0.30653266331658297,0.612013538931184,0.7073812822604146
gpt-5.4-nano,GPT-5.4 Nano,0,0–10%,12,3,0.043333333333333335,0.25,0.20666666666666667,0.006231155778894472,0.08894166839405471,0.5323053349335657
gpt-5.4-nano,GPT-5.4 Nano,1,10–20%,81,17,0.14382716049382716,0.20987654320987653,0.06604938271604938,0.01344221105527638,0.13537173606133143,0.3106538196834032
gpt-5.4-nano,GPT-5.4 Nano,2,20–30%,31,14,0.23258064516129032,0.45161290322580644,0.21903225806451612,0.01706030150753769,0.29161735980520015,0.6222783236264549
gpt-5.4-nano,GPT-5.4 Nano,3,30–40%,17,4,0.3423529411764705,0.23529411764705882,0.1070588235294117,0.004572864321608037,0.09555044322080117,0.4726179811956498
gpt-5.4-nano,GPT-5.4 Nano,4,40–50%,19,3,0.4342105263157895,0.15789473684210525,0.27631578947368424,0.013190954773869348,0.05520471638534141,0.37565475270329074
gpt-5.4-nano,GPT-5.4 Nano,5,50–60%,17,5,0.5570588235294118,0.29411764705882354,0.2629411764705883,0.011231155778894475,0.1327998961029523,0.5313311006653985
gpt-5.4-nano,GPT-5.4 Nano,6,60–70%,59,18,0.6230508474576271,0.3050847457627119,0.3179661016949152,0.04713567839195979,0.20253631980116063,0.4314632653194519
gpt-5.4-nano,GPT-5.4 Nano,7,70–80%,70,29,0.7460000000000001,0.4142857142857143,0.3317142857142858,0.05834170854271359,0.30630178568736466,0.5311878821543955
gpt-5.4-nano,GPT-5.4 Nano,8,80–90%,30,17,0.8529999999999999,0.5666666666666667,0.2863333333333332,0.02158291457286431,0.3919730700081361,0.7262251442353347
gpt-5.4-nano,GPT-5.4 Nano,9,90–100%,62,47,0.9535483870967745,0.7580645161290323,0.19548387096774222,0.03045226130653271,0.6384749248397259,0.8475410379466626
qwen3.5-397b,Qwen3.5-397B,0,0–10%,7,3,0.021428571428571432,0.42857142857142855,0.40714285714285714,0.007916666666666667,0.15821985525146975,0.7495416354723428
qwen3.5-397b,Qwen3.5-397B,1,10–20%,5,2,0.1,0.4,0.30000000000000004,0.0041666666666666675,0.11762077423264783,0.769275718723987
qwen3.5-397b,Qwen3.5-397B,2,20–30%,4,3,0.21250000000000002,0.75,0.5375,0.0059722222222222225,0.30064184258240184,0.9544127391902995
qwen3.5-397b,Qwen3.5-397B,3,30–40%,0,0,,,,0.0,,
qwen3.5-397b,Qwen3.5-397B,4,40–50%,0,0,,,,0.0,,
qwen3.5-397b,Qwen3.5-397B,5,50–60%,0,0,,,,0.0,,
qwen3.5-397b,Qwen3.5-397B,6,60–70%,0,0,,,,0.0,,
qwen3.5-397b,Qwen3.5-397B,7,70–80%,2,1,0.725,0.5,0.22499999999999998,0.00125,0.09453120573423074,0.9054687942657693
qwen3.5-397b,Qwen3.5-397B,8,80–90%,1,0,0.8,0.0,0.8,0.0022222222222222222,0.0,0.7934506856227626
qwen3.5-397b,Qwen3.5-397B,9,90–100%,341,303,0.9929032258064517,0.8885630498533724,0.10434017595307932,0.09883333333333347,0.8507415072140287,0.9177275768289981
