model,model_display,setting,bin_type,bin_index,bin_label,n,abstentions,abstention_rate,ci_low,ci_high,confidence_mean,confidence_min,confidence_max
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-100,percentile_bin,0,0–10%,10,0,0.0,0.0,0.2775327998628892,0.7100000000000001,0.4875,0.775
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-100,percentile_bin,1,10–20%,10,0,0.0,0.0,0.2775327998628892,0.88375,0.825,0.9125
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-100,percentile_bin,2,20–30%,12,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.9552083333333335,0.925,0.9625
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-100,percentile_bin,3,30–40%,9,0,0.0,0.0,0.2991450484195441,0.9750000000000001,0.975,0.975
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-100,percentile_bin,4,40–50%,4,0,0.0,0.0,0.4898908364545973,0.9875,0.9875,0.9875
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-100,percentile_bin,5,50–60%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-100,percentile_bin,6,60–70%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-100,percentile_bin,7,70–80%,55,0,0.0,0.0,0.06528490111708637,1.0,1.0,1.0
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-100,percentile_bin,8,80–90%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-100,percentile_bin,9,90–100%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP6,percentile_bin,0,0–10%,10,1,0.1,0.017876213095072896,0.4041500267952385,0.7100000000000001,0.4875,0.775
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP6,percentile_bin,1,10–20%,10,0,0.0,0.0,0.2775327998628892,0.8837499999999998,0.825,0.9125
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP6,percentile_bin,2,20–30%,12,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.9552083333333335,0.925,0.9625
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP6,percentile_bin,3,30–40%,9,0,0.0,0.0,0.2991450484195441,0.9750000000000001,0.975,0.975
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP6,percentile_bin,4,40–50%,4,0,0.0,0.0,0.4898908364545973,0.9875,0.9875,0.9875
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP6,percentile_bin,5,50–60%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP6,percentile_bin,6,60–70%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP6,percentile_bin,7,70–80%,55,2,0.03636363636363636,0.01002954128933356,0.12323463974651017,1.0,1.0,1.0
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP6,percentile_bin,8,80–90%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP6,percentile_bin,9,90–100%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP7,percentile_bin,0,0–10%,10,0,0.0,0.0,0.2775327998628892,0.7100000000000001,0.4875,0.775
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP7,percentile_bin,1,10–20%,10,0,0.0,0.0,0.2775327998628892,0.8837499999999998,0.825,0.9125
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP7,percentile_bin,2,20–30%,12,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.9552083333333335,0.925,0.9625
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP7,percentile_bin,3,30–40%,9,0,0.0,0.0,0.2991450484195441,0.9750000000000001,0.975,0.975
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP7,percentile_bin,4,40–50%,4,0,0.0,0.0,0.4898908364545973,0.9875,0.9875,0.9875
