proxy,model,model_display,setting,n,unique_problems,baseline_abstentions,baseline_abstention_rate,abstention_ci_low,abstention_ci_high,mean_confidence,median_confidence,abstained_mean_confidence,submitted_mean_confidence,abstained_minus_submitted_confidence
setting_matched,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-25,100,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.9490000000000001,1.0,,0.9490000000000001,
setting_matched,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-100,100,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.9455000000000001,1.0,,0.9455000000000001,
setting_matched,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP6,100,100,3,0.03,0.010254524024038925,0.0845193642905276,0.9415,1.0,0.9833333333333334,0.9402061855670103,0.04312714776632309
setting_matched,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP7,100,100,1,0.01,0.0017674320641406505,0.054486196178705315,0.9690000000000002,1.0,1.0,0.9686868686868689,0.03131313131313107
setting_matched,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Pooled,400,100,4,0.01,0.003895483794990993,0.025426564652619582,0.95125,1.0,0.9875,0.9508838383838384,0.03661616161616166
setting_matched,gpt-5.4-nano,GPT-5.4 Nano,Quant-25,100,100,3,0.03,0.010254524024038925,0.0845193642905276,0.5339999999999999,0.62,0.39999999999999997,0.5381443298969072,-0.13814432989690723
setting_matched,gpt-5.4-nano,GPT-5.4 Nano,Quant-100,99,99,4,0.04040404040404041,0.015822638994147556,0.09932021250254229,0.5301010101010101,0.62,0.125,0.5471578947368421,-0.42215789473684207
setting_matched,gpt-5.4-nano,GPT-5.4 Nano,QP6,99,99,11,0.1111111111111111,0.06318563453857474,0.1880890859586244,0.5827272727272726,0.62,0.49272727272727274,0.5939772727272726,-0.1012499999999999
setting_matched,gpt-5.4-nano,GPT-5.4 Nano,QP7,100,100,3,0.03,0.010254524024038925,0.0845193642905276,0.5257,0.62,0.45,0.528041237113402,-0.078041237113402
setting_matched,gpt-5.4-nano,GPT-5.4 Nano,Pooled,398,100,21,0.052763819095477386,0.03476665198900107,0.07931181805047055,0.5430653266331658,0.62,0.4033333333333334,0.5508488063660478,-0.14751547303271445
setting_matched,qwen3.5-397b,Qwen3.5-397B,Quant-25,97,97,6,0.061855670103092786,0.028654885715718267,0.1284378319616586,0.9387628865979382,1.0,0.8333333333333334,0.9457142857142857,-0.11238095238095236
setting_matched,qwen3.5-397b,Qwen3.5-397B,Quant-100,98,98,3,0.030612244897959183,0.010464891082493703,0.0861702016847983,0.9352040816326531,1.0,0.6833333333333332,0.9431578947368422,-0.25982456140350896
setting_matched,qwen3.5-397b,Qwen3.5-397B,QP6,96,96,5,0.052083333333333336,0.02244960047424143,0.11618478031492638,0.9477083333333333,1.0,0.8400000000000001,0.9536263736263736,-0.11362637362637351
setting_matched,qwen3.5-397b,Qwen3.5-397B,QP7,91,91,4,0.04395604395604396,0.01722436644411733,0.10763093384266353,0.9103296703296704,1.0,0.7975000000000001,0.9155172413793102,-0.11801724137931013
setting_matched,qwen3.5-397b,Qwen3.5-397B,Pooled,382,100,18,0.04712041884816754,0.030010852156050646,0.0732477736600232,0.9333246073298429,1.0,0.8022222222222223,0.9398076923076922,-0.13758547008546995
setting_matched,All models,All models,Pooled,1951,100,54,0.027678113787801127,0.021275085309413147,0.03593746168054338,0.8252327011788826,0.99,0.5675925925925925,0.8325666842382708,-0.2649740916456783
question_mean,claude-haiku-4-5,Claude Haiku 4.5,Quant-25,100,100,1,0.01,0.0017674320641406505,0.054486196178705315,0.751925,0.7749999999999999,0.05,0.7590151515151515,-0.7090151515151515
question_mean,claude-haiku-4-5,Claude Haiku 4.5,Quant-100,100,100,1,0.01,0.0017674320641406505,0.054486196178705315,0.751925,0.7749999999999999,0.05,0.7590151515151515,-0.7090151515151515
question_mean,claude-haiku-4-5,Claude Haiku 4.5,QP6,100,100,2,0.02,0.00550196755016235,0.07001179072854388,0.7519250000000001,0.7749999999999999,0.33375,0.7604591836734693,-0.42670918367346933
question_mean,claude-haiku-4-5,Claude Haiku 4.5,QP7,100,100,1,0.01,0.0017674320641406505,0.054486196178705315,0.751925,0.7749999999999999,0.05,0.7590151515151515,-0.7090151515151515
question_mean,claude-haiku-4-5,Claude Haiku 4.5,Pooled,400,100,5,0.0125,0.005350750779971611,0.028923736195967484,0.751925,0.7749999999999999,0.1635,0.759373417721519,-0.595873417721519
question_mean,deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,94,94,2,0.02127659574468085,0.005854336239172753,0.07429020489102965,0.9528962765957448,1.0,0.59875,0.9605951086956522,-0.36184510869565223
question_mean,deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,96,96,1,0.010416666666666666,0.0018411702168162486,0.056666176227157854,0.9437821180555556,1.0,0.25,0.9510850877192983,-0.7010850877192983
question_mean,deepseek-v4-pro,DeepSeek V4 Pro,QP6,94,94,2,0.02127659574468085,0.005854336239172753,0.07429020489102965,0.9612030141843972,1.0,0.59875,0.9690824275362321,-0.3703324275362321
question_mean,deepseek-v4-pro,DeepSeek V4 Pro,QP7,93,93,1,0.010752688172043012,0.0019006420286555546,0.058419172354870236,0.9652930107526884,1.0,0.25,0.9730679347826087,-0.7230679347826087
question_mean,deepseek-v4-pro,DeepSeek V4 Pro,Pooled,377,98,6,0.015915119363395226,0.007313926619761437,0.034282014299455876,0.9557046861184791,1.0,0.4825,0.9633575920934412,-0.4808575920934412
question_mean,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-25,100,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.95125,1.0,,0.95125,
question_mean,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-100,100,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.95125,1.0,,0.95125,
question_mean,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP6,100,100,3,0.03,0.010254524024038925,0.0845193642905276,0.9512500000000002,1.0,0.9125,0.9524484536082475,-0.0399484536082475
