model,model_display,setting,bin_type,bin_index,bin_label,n,abstentions,abstention_rate,ci_low,ci_high,confidence_mean,confidence_min,confidence_max
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,7,70–80%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,8,80–90%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,9,90–100%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,0,0–10%,7,1,0.14285714285714285,0.02567962434474355,0.5131278292743189,0.39,0.0,0.98
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,1,10–20%,8,0,0.0,0.0,0.32440756488388023,0.991125,0.99,0.999
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,2,20–30%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,3,30–40%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,4,40–50%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,5,50–60%,81,0,0.0,0.0,0.045278085432415204,1.0,1.0,1.0
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,6,60–70%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,7,70–80%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,8,80–90%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,9,90–100%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,0,0–10%,9,2,0.2222222222222222,0.06322510711784671,0.5474110308930111,0.6499999999999999,0.0,0.99
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,1,10–20%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,2,20–30%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,3,30–40%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,4,40–50%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,5,50–60%,84,0,0.0,0.0,0.04373172841465989,1.0,1.0,1.0
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,6,60–70%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,7,70–80%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,8,80–90%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,9,90–100%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP7,percentile_bin,0,0–10%,7,0,0.0,5.551115123125783e-17,0.35433043506668743,0.6799999999999999,0.0,0.98
deepseek-v4-pro,DeepSeek V4 Pro,QP7,percentile_bin,1,10–20%,7,0,0.0,5.551115123125783e-17,0.35433043506668743,0.9900000000000001,0.99,0.99
