cohort,model,intervention,setting,n,mean_confidence,candidate_accuracy,signed_calibration_gap,brier_score,ece_10_bin
all_candidates,gpt-5.4-nano,1,Quant-25,92,0.7066304347826086,0.532608695652174,0.17402173913043462,0.16960978260869566,0.17402173913043475
all_candidates,gpt-5.4-nano,1,Quant-100,87,0.7034482758620688,0.5402298850574713,0.16321839080459755,0.1777908045977011,0.19931034482758622
all_candidates,gpt-5.4-nano,1,QP6,78,0.7715384615384615,0.6025641025641025,0.16897435897435897,0.17335897435897435,0.1689743589743589
all_candidates,gpt-5.4-nano,1,QP7,81,0.7423456790123457,0.5555555555555556,0.18679012345679014,0.1878308641975309,0.18679012345679014
all_candidates,gpt-5.4-nano,2,Quant-25,100,0.534,0.41,0.12400000000000005,0.26317599999999997,0.23339999999999997
all_candidates,gpt-5.4-nano,2,Quant-100,98,0.535,0.37755102040816324,0.1574489795918368,0.2758397959183674,0.2592857142857143
all_candidates,gpt-5.4-nano,2,QP6,100,0.5821,0.38,0.20209999999999995,0.23592300000000002,0.22849999999999998
all_candidates,gpt-5.4-nano,2,QP7,100,0.5257000000000001,0.41,0.11570000000000008,0.266281,0.21509999999999999
all_candidates,qwen3.5-397b,1,Quant-25,91,0.9634065934065936,0.8351648351648352,0.12824175824175843,0.12925604395604395,0.1282417582417582
all_candidates,qwen3.5-397b,1,Quant-100,99,0.959929292929293,0.8282828282828283,0.13164646464646468,0.13451966666666668,0.1316464646464648
all_candidates,qwen3.5-397b,1,QP6,95,0.9674736842105263,0.8947368421052632,0.0727368421052631,0.06972105263157893,0.07273684210526332
all_candidates,qwen3.5-397b,1,QP7,92,0.9773576086956521,0.8260869565217391,0.151270652173913,0.1508195979347826,0.15127065217391308
all_candidates,qwen3.5-397b,2,Quant-25,90,0.9667777777777778,0.8555555555555555,0.11122222222222233,0.11523666666666667,0.11788888888888899
all_candidates,qwen3.5-397b,2,Quant-100,93,0.9532258064516129,0.8924731182795699,0.060752688172043046,0.11993225806451614,0.11989247311827954
all_candidates,qwen3.5-397b,2,QP6,93,0.9358064516129034,0.8494623655913979,0.08634408602150556,0.13086989247311828,0.13688172043010774
all_candidates,qwen3.5-397b,2,QP7,84,0.9480952380952381,0.8690476190476191,0.07904761904761903,0.11602142857142857,0.12071428571428573
submitted_only,claude-haiku-4-5,1,Quant-25,75,0.8456000000000001,0.6666666666666666,0.1789333333333335,0.2029706666666667,0.1936000000000001
submitted_only,claude-haiku-4-5,1,Quant-100,72,0.8397222222222223,0.7083333333333334,0.1313888888888889,0.1496388888888889,0.15777777777777788
submitted_only,claude-haiku-4-5,1,QP6,72,0.8812500000000001,0.7361111111111112,0.14513888888888893,0.22845694444444448,0.21319444444444446
submitted_only,claude-haiku-4-5,1,QP7,79,0.8374683544303797,0.6455696202531646,0.19189873417721515,0.21408101265822782,0.20835443037974705
submitted_only,claude-haiku-4-5,2,Quant-25,61,0.8580327868852461,0.819672131147541,0.038360655737705085,0.1240983606557377,0.11377049180327883
submitted_only,claude-haiku-4-5,2,Quant-100,60,0.8881666666666669,0.8,0.08816666666666684,0.13091833333333336,0.14150000000000018
submitted_only,claude-haiku-4-5,2,QP6,67,0.8637313432835823,0.8059701492537313,0.057761194029850915,0.1273597014925373,0.11149253731343284
submitted_only,claude-haiku-4-5,2,QP7,68,0.8970588235294119,0.7794117647058824,0.11764705882352955,0.1334235294117647,0.15000000000000016
submitted_only,deepseek-v4-pro,1,Quant-25,85,0.9959647058823528,0.9176470588235294,0.07831764705882338,0.08195768235294118,0.07831764705882338
submitted_only,deepseek-v4-pro,1,Quant-100,82,0.9979146341463414,0.9634146341463414,0.034499999999999975,0.03650806097560976,0.034499999999999975
submitted_only,deepseek-v4-pro,1,QP6,89,0.995494382022472,0.9438202247191011,0.05167415730337088,0.05496855056179775,0.05167415730337088
submitted_only,deepseek-v4-pro,1,QP7,81,0.9963209876543208,0.9382716049382716,0.0580493827160492,0.06127293827160494,0.0580493827160492
submitted_only,deepseek-v4-pro,2,Quant-25,87,0.9986206896551724,0.9195402298850575,0.07908045977011491,0.08001609195402298,0.07908045977011491
submitted_only,deepseek-v4-pro,2,Quant-100,80,0.9996124999999999,0.95,0.04961249999999995,0.05000376249999999,0.04961249999999995
submitted_only,deepseek-v4-pro,2,QP6,85,0.9991764705882353,0.9529411764705882,0.04623529411764715,0.04709058823529412,0.04623529411764715
submitted_only,deepseek-v4-pro,2,QP7,79,0.999113924050633,0.9620253164556962,0.03708860759493682,0.03798607594936709,0.03708860759493682
submitted_only,gemini-3.1-flash-lite-preview,1,Quant-25,79,0.9632911392405066,0.6962025316455697,0.2670886075949369,0.25316455696202533,0.26708860759493686
submitted_only,gemini-3.1-flash-lite-preview,1,Quant-100,84,0.9642857142857144,0.6666666666666666,0.2976190476190478,0.2850595238095238,0.2976190476190477
submitted_only,gemini-3.1-flash-lite-preview,1,QP6,95,0.9808421052631578,0.6,0.38084210526315787,0.3689515789473684,0.38084210526315787
submitted_only,gemini-3.1-flash-lite-preview,1,QP7,97,0.9716494845360825,0.5876288659793815,0.384020618556701,0.36729381443298964,0.3840206185567011
submitted_only,gemini-3.1-flash-lite-preview,2,Quant-25,68,0.9970588235294118,0.7941176470588235,0.2029411764705883,0.20308823529411762,0.2029411764705883
submitted_only,gemini-3.1-flash-lite-preview,2,Quant-100,68,0.9867647058823531,0.7647058823529411,0.22205882352941197,0.21691176470588236,0.22205882352941178
submitted_only,gemini-3.1-flash-lite-preview,2,QP6,80,0.98125,0.75,0.23124999999999996,0.24362499999999998,0.2512500000000002
submitted_only,gemini-3.1-flash-lite-preview,2,QP7,87,0.9833333333333335,0.6896551724137931,0.29367816091954035,0.2857758620689655,0.2936781609195403
submitted_only,gpt-5.4-nano,1,Quant-25,42,0.8269047619047618,0.6428571428571429,0.1840476190476189,0.1767738095238095,0.18404761904761907
submitted_only,gpt-5.4-nano,1,Quant-100,40,0.85025,0.775,0.07524999999999993,0.12098249999999999,0.08824999999999995
submitted_only,gpt-5.4-nano,1,QP6,55,0.8494545454545455,0.6909090909090909,0.15854545454545454,0.1757927272727272,0.18472727272727268
submitted_only,gpt-5.4-nano,1,QP7,61,0.8347540983606556,0.6885245901639344,0.1462295081967212,0.1900295081967213,0.15508196721311482
submitted_only,gpt-5.4-nano,2,Quant-25,18,0.8705555555555555,0.8333333333333334,0.03722222222222216,0.12628333333333333,0.16722222222222227
submitted_only,gpt-5.4-nano,2,Quant-100,23,0.8273913043478263,0.6521739130434783,0.175217391304348,0.22910000000000003,0.2647826086956521
submitted_only,gpt-5.4-nano,2,QP6,9,0.8355555555555556,1.0,-0.1644444444444444,0.07415555555555556,0.1644444444444444
submitted_only,gpt-5.4-nano,2,QP7,13,0.7576923076923078,0.8461538461538461,-0.08846153846153837,0.06191538461538462,0.08846153846153842
submitted_only,qwen3.5-397b,1,Quant-25,89,0.981685393258427,0.8539325842696629,0.12775280898876407,0.13114943820224717,0.12775280898876398
submitted_only,qwen3.5-397b,1,Quant-100,93,0.9810000000000002,0.8709677419354839,0.11003225806451633,0.12024136559139785,0.11863440860215063
submitted_only,qwen3.5-397b,1,QP6,93,0.9818279569892473,0.9139784946236559,0.06784946236559142,0.06734946236559139,0.06784946236559157
submitted_only,qwen3.5-397b,1,QP7,91,0.9880978021978022,0.8351648351648352,0.152932967032967,0.15247695615384615,0.15293296703296705
submitted_only,qwen3.5-397b,2,Quant-25,73,0.9858904109589041,0.9452054794520548,0.040684931506849265,0.04176301369863014,0.04068493150684922
submitted_only,qwen3.5-397b,2,Quant-100,77,0.9728571428571429,0.935064935064935,0.03779220779220782,0.08601168831168832,0.08714285714285719
submitted_only,qwen3.5-397b,2,QP6,78,0.9769230769230768,0.9358974358974359,0.04102564102564088,0.08177179487179487,0.08333333333333329
submitted_only,qwen3.5-397b,2,QP7,76,0.9868421052631579,0.9210526315789473,0.06578947368421051,0.08616052631578947,0.08684210526315782
