cohort,model,intervention,setting,raw_bin,bin_label,n,correct,mean_confidence,candidate_accuracy,ci_low,ci_high
all_candidates,claude-haiku-4-5,2,QP6,9,90–100%,50,45,0.9716000000000001,0.9,0.7863976856252035,0.9565242350681096
all_candidates,claude-haiku-4-5,2,QP7,0,0–10%,0,0,,,,
all_candidates,claude-haiku-4-5,2,QP7,1,10–20%,2,1,0.15,0.5,0.09453120573423074,0.9054687942657693
all_candidates,claude-haiku-4-5,2,QP7,2,20–30%,3,1,0.2333333333333333,0.3333333333333333,0.06149194472039621,0.7923403991979522
all_candidates,claude-haiku-4-5,2,QP7,3,30–40%,6,1,0.3416666666666666,0.16666666666666666,0.030053369748306635,0.5635028221864702
all_candidates,claude-haiku-4-5,2,QP7,4,40–50%,7,2,0.45000000000000007,0.2857142857142857,0.08221892400405678,0.6410655481673808
all_candidates,claude-haiku-4-5,2,QP7,5,50–60%,1,0,0.55,0.0,0.0,0.7934506856227626
all_candidates,claude-haiku-4-5,2,QP7,6,60–70%,6,0,0.65,0.0,2.7755575615628914e-17,0.3903342879021653
all_candidates,claude-haiku-4-5,2,QP7,7,70–80%,12,3,0.7275,0.25,0.08894166839405471,0.5323053349335657
all_candidates,claude-haiku-4-5,2,QP7,8,80–90%,5,3,0.85,0.6,0.2307242812760128,0.882379225767352
all_candidates,claude-haiku-4-5,2,QP7,9,90–100%,54,50,0.9694444444444446,0.9259259259259259,0.8244588416140005,0.9708184722344951
all_candidates,deepseek-v4-pro,1,Quant-25,0,0–10%,1,0,0.0,0.0,0.0,0.7934506856227626
all_candidates,deepseek-v4-pro,1,Quant-25,1,10–20%,0,0,,,,
all_candidates,deepseek-v4-pro,1,Quant-25,2,20–30%,0,0,,,,
all_candidates,deepseek-v4-pro,1,Quant-25,3,30–40%,0,0,,,,
all_candidates,deepseek-v4-pro,1,Quant-25,4,40–50%,0,0,,,,
all_candidates,deepseek-v4-pro,1,Quant-25,5,50–60%,0,0,,,,
all_candidates,deepseek-v4-pro,1,Quant-25,6,60–70%,1,1,0.65,1.0,0.20654931437723745,1.0
all_candidates,deepseek-v4-pro,1,Quant-25,7,70–80%,0,0,,,,
all_candidates,deepseek-v4-pro,1,Quant-25,8,80–90%,0,0,,,,
all_candidates,deepseek-v4-pro,1,Quant-25,9,90–100%,86,78,0.9954302325581393,0.9069767441860465,0.8270425887501315,0.9521077157847294
all_candidates,deepseek-v4-pro,1,Quant-100,0,0–10%,0,0,,,,
all_candidates,deepseek-v4-pro,1,Quant-100,1,10–20%,0,0,,,,
all_candidates,deepseek-v4-pro,1,Quant-100,2,20–30%,0,0,,,,
all_candidates,deepseek-v4-pro,1,Quant-100,3,30–40%,0,0,,,,
all_candidates,deepseek-v4-pro,1,Quant-100,4,40–50%,0,0,,,,
all_candidates,deepseek-v4-pro,1,Quant-100,5,50–60%,0,0,,,,
all_candidates,deepseek-v4-pro,1,Quant-100,6,60–70%,0,0,,,,
all_candidates,deepseek-v4-pro,1,Quant-100,7,70–80%,0,0,,,,
all_candidates,deepseek-v4-pro,1,Quant-100,8,80–90%,3,2,0.8333333333333334,0.6666666666666666,0.2076596008020477,0.9385080552796037
all_candidates,deepseek-v4-pro,1,Quant-100,9,90–100%,82,79,0.9979146341463414,0.9634146341463414,0.8978726535639152,0.9874804269184307
all_candidates,deepseek-v4-pro,1,QP6,0,0–10%,0,0,,,,
all_candidates,deepseek-v4-pro,1,QP6,1,10–20%,0,0,,,,
all_candidates,deepseek-v4-pro,1,QP6,2,20–30%,0,0,,,,
all_candidates,deepseek-v4-pro,1,QP6,3,30–40%,0,0,,,,
all_candidates,deepseek-v4-pro,1,QP6,4,40–50%,0,0,,,,
all_candidates,deepseek-v4-pro,1,QP6,5,50–60%,0,0,,,,
all_candidates,deepseek-v4-pro,1,QP6,6,60–70%,0,0,,,,
all_candidates,deepseek-v4-pro,1,QP6,7,70–80%,0,0,,,,
all_candidates,deepseek-v4-pro,1,QP6,8,80–90%,0,0,,,,
all_candidates,deepseek-v4-pro,1,QP6,9,90–100%,89,84,0.995494382022472,0.9438202247191011,0.8751458326492151,0.9757671215792799
all_candidates,deepseek-v4-pro,1,QP7,0,0–10%,0,0,,,,
all_candidates,deepseek-v4-pro,1,QP7,1,10–20%,0,0,,,,
all_candidates,deepseek-v4-pro,1,QP7,2,20–30%,0,0,,,,
all_candidates,deepseek-v4-pro,1,QP7,3,30–40%,0,0,,,,
all_candidates,deepseek-v4-pro,1,QP7,4,40–50%,0,0,,,,
all_candidates,deepseek-v4-pro,1,QP7,5,50–60%,0,0,,,,
all_candidates,deepseek-v4-pro,1,QP7,6,60–70%,1,1,0.6,1.0,0.20654931437723745,1.0
all_candidates,deepseek-v4-pro,1,QP7,7,70–80%,0,0,,,,
all_candidates,deepseek-v4-pro,1,QP7,8,80–90%,0,0,,,,
all_candidates,deepseek-v4-pro,1,QP7,9,90–100%,86,80,0.995127906976744,0.9302325581395349,0.8560385935896314,0.9676345854900786
all_candidates,deepseek-v4-pro,2,Quant-25,0,0–10%,0,0,,,,
all_candidates,deepseek-v4-pro,2,Quant-25,1,10–20%,0,0,,,,
all_candidates,deepseek-v4-pro,2,Quant-25,2,20–30%,0,0,,,,
all_candidates,deepseek-v4-pro,2,Quant-25,3,30–40%,0,0,,,,
all_candidates,deepseek-v4-pro,2,Quant-25,4,40–50%,0,0,,,,
all_candidates,deepseek-v4-pro,2,Quant-25,5,50–60%,0,0,,,,
all_candidates,deepseek-v4-pro,2,Quant-25,6,60–70%,0,0,,,,
all_candidates,deepseek-v4-pro,2,Quant-25,7,70–80%,0,0,,,,
all_candidates,deepseek-v4-pro,2,Quant-25,8,80–90%,0,0,,,,
all_candidates,deepseek-v4-pro,2,Quant-25,9,90–100%,89,82,0.9986516853932583,0.9213483146067416,0.846448576179568,0.961380177834826
all_candidates,deepseek-v4-pro,2,Quant-100,0,0–10%,0,0,,,,
all_candidates,deepseek-v4-pro,2,Quant-100,1,10–20%,0,0,,,,
all_candidates,deepseek-v4-pro,2,Quant-100,2,20–30%,0,0,,,,
all_candidates,deepseek-v4-pro,2,Quant-100,3,30–40%,0,0,,,,
all_candidates,deepseek-v4-pro,2,Quant-100,4,40–50%,0,0,,,,
all_candidates,deepseek-v4-pro,2,Quant-100,5,50–60%,0,0,,,,
all_candidates,deepseek-v4-pro,2,Quant-100,6,60–70%,0,0,,,,
all_candidates,deepseek-v4-pro,2,Quant-100,7,70–80%,0,0,,,,
all_candidates,deepseek-v4-pro,2,Quant-100,8,80–90%,1,1,0.85,1.0,0.20654931437723745,1.0
all_candidates,deepseek-v4-pro,2,Quant-100,9,90–100%,91,86,0.9977912087912088,0.945054945054945,0.8777519753271708,0.9763049002965734
all_candidates,deepseek-v4-pro,2,QP6,0,0–10%,0,0,,,,
all_candidates,deepseek-v4-pro,2,QP6,1,10–20%,0,0,,,,
all_candidates,deepseek-v4-pro,2,QP6,2,20–30%,0,0,,,,
all_candidates,deepseek-v4-pro,2,QP6,3,30–40%,0,0,,,,
all_candidates,deepseek-v4-pro,2,QP6,4,40–50%,0,0,,,,
all_candidates,deepseek-v4-pro,2,QP6,5,50–60%,0,0,,,,
all_candidates,deepseek-v4-pro,2,QP6,6,60–70%,0,0,,,,
all_candidates,deepseek-v4-pro,2,QP6,7,70–80%,0,0,,,,
all_candidates,deepseek-v4-pro,2,QP6,8,80–90%,0,0,,,,
all_candidates,deepseek-v4-pro,2,QP6,9,90–100%,90,85,0.9983333333333333,0.9444444444444444,0.8764626377820048,0.976039028383038
all_candidates,deepseek-v4-pro,2,QP7,0,0–10%,0,0,,,,
all_candidates,deepseek-v4-pro,2,QP7,1,10–20%,0,0,,,,
all_candidates,deepseek-v4-pro,2,QP7,2,20–30%,0,0,,,,
all_candidates,deepseek-v4-pro,2,QP7,3,30–40%,0,0,,,,
all_candidates,deepseek-v4-pro,2,QP7,4,40–50%,0,0,,,,
all_candidates,deepseek-v4-pro,2,QP7,5,50–60%,0,0,,,,
all_candidates,deepseek-v4-pro,2,QP7,6,60–70%,0,0,,,,
