model,intervention,setting,percentile_bin,n,abstentions,confidence_mean,confidence_min,confidence_max,abstention_rate,ci_low,ci_high,bin_label
deepseek-v4-pro,1,QP6,5,0,0,,,,,,,50–60%
deepseek-v4-pro,1,QP6,6,67,1,1.0,1.0,1.0,0.014925373134328358,0.0026395717340788882,0.07981862319778105,60–70%
deepseek-v4-pro,1,QP6,7,0,0,,,,,,,70–80%
deepseek-v4-pro,1,QP6,8,0,0,,,,,,,80–90%
deepseek-v4-pro,1,QP6,9,0,0,,,,,,,90–100%
deepseek-v4-pro,1,QP7,0,7,5,0.647142857142857,0.0,0.98,0.7142857142857143,0.35893445183261935,0.9177810759959433,0–10%
deepseek-v4-pro,1,QP7,1,31,3,0.99,0.99,0.99,0.0967741935483871,0.03346464416319736,0.24899938443392836,10–20%
deepseek-v4-pro,1,QP7,2,0,0,,,,,,,20–30%
deepseek-v4-pro,1,QP7,3,9,1,0.999,0.999,0.999,0.1111111111111111,0.019890887638544907,0.434999705576656,30–40%
deepseek-v4-pro,1,QP7,4,0,0,,,,,,,40–50%
deepseek-v4-pro,1,QP7,5,0,0,,,,,,,50–60%
deepseek-v4-pro,1,QP7,6,45,0,1.0,1.0,1.0,0.0,0.0,0.07865159873288836,60–70%
deepseek-v4-pro,1,QP7,7,0,0,,,,,,,70–80%
deepseek-v4-pro,1,QP7,8,0,0,,,,,,,80–90%
deepseek-v4-pro,1,QP7,9,0,0,,,,,,,90–100%
deepseek-v4-pro,2,Quant-25,0,9,9,0.0,0.0,0.0,1.0,0.7008549515804559,1.0,0–10%
deepseek-v4-pro,2,Quant-25,1,11,0,0.989090909090909,0.98,0.99,0.0,0.0,0.2588329669680317,10–20%
deepseek-v4-pro,2,Quant-25,2,0,0,,,,,,,20–30%
deepseek-v4-pro,2,Quant-25,3,0,0,,,,,,,30–40%
deepseek-v4-pro,2,Quant-25,4,0,0,,,,,,,40–50%
deepseek-v4-pro,2,Quant-25,5,78,2,1.0,1.0,1.0,0.02564102564102564,0.007060093472759203,0.08875270035675845,50–60%
deepseek-v4-pro,2,Quant-25,6,0,0,,,,,,,60–70%
deepseek-v4-pro,2,Quant-25,7,0,0,,,,,,,70–80%
deepseek-v4-pro,2,Quant-25,8,0,0,,,,,,,80–90%
deepseek-v4-pro,2,Quant-25,9,0,0,,,,,,,90–100%
deepseek-v4-pro,2,Quant-100,0,8,8,0.21875,0.0,0.9,1.0,0.6755924351161198,1.0,0–10%
deepseek-v4-pro,2,Quant-100,1,10,6,0.9898999999999999,0.98,0.999,0.6,0.31267376973365824,0.8318196702937638,10–20%
deepseek-v4-pro,2,Quant-100,2,0,0,,,,,,,20–30%
deepseek-v4-pro,2,Quant-100,3,0,0,,,,,,,30–40%
deepseek-v4-pro,2,Quant-100,4,0,0,,,,,,,40–50%
deepseek-v4-pro,2,Quant-100,5,80,4,1.0,1.0,1.0,0.05,0.01961355453554428,0.1216227620464301,50–60%
deepseek-v4-pro,2,Quant-100,6,0,0,,,,,,,60–70%
deepseek-v4-pro,2,Quant-100,7,0,0,,,,,,,70–80%
deepseek-v4-pro,2,Quant-100,8,0,0,,,,,,,80–90%
deepseek-v4-pro,2,Quant-100,9,0,0,,,,,,,90–100%
