model,intervention,setting,raw_bin,n,abstentions,confidence_mean,confidence_min,confidence_max,abstention_rate,ci_low,ci_high,bin_label
deepseek-v4-pro,1,QP7,7,0,0,,,,,,,70–80%
deepseek-v4-pro,1,QP7,8,0,0,,,,,,,80–90%
deepseek-v4-pro,1,QP7,9,88,6,0.9945568181818182,0.95,1.0,0.06818181818181818,0.03162092817146724,0.14086608394821237,90–100%
deepseek-v4-pro,2,Quant-25,0,9,9,0.0,0.0,0.0,1.0,0.7008549515804559,1.0,0–10%
deepseek-v4-pro,2,Quant-25,1,0,0,,,,,,,10–20%
deepseek-v4-pro,2,Quant-25,2,0,0,,,,,,,20–30%
deepseek-v4-pro,2,Quant-25,3,0,0,,,,,,,30–40%
deepseek-v4-pro,2,Quant-25,4,0,0,,,,,,,40–50%
deepseek-v4-pro,2,Quant-25,5,0,0,,,,,,,50–60%
deepseek-v4-pro,2,Quant-25,6,0,0,,,,,,,60–70%
deepseek-v4-pro,2,Quant-25,7,0,0,,,,,,,70–80%
deepseek-v4-pro,2,Quant-25,8,0,0,,,,,,,80–90%
deepseek-v4-pro,2,Quant-25,9,89,2,0.9986516853932583,0.98,1.0,0.02247191011235955,0.006184398702128599,0.07827634674822494,90–100%
deepseek-v4-pro,2,Quant-100,0,6,6,0.0,0.0,0.0,1.0,0.6096657120978346,1.0,0–10%
deepseek-v4-pro,2,Quant-100,1,0,0,,,,,,,10–20%
deepseek-v4-pro,2,Quant-100,2,0,0,,,,,,,20–30%
deepseek-v4-pro,2,Quant-100,3,0,0,,,,,,,30–40%
deepseek-v4-pro,2,Quant-100,4,0,0,,,,,,,40–50%
deepseek-v4-pro,2,Quant-100,5,0,0,,,,,,,50–60%
deepseek-v4-pro,2,Quant-100,6,0,0,,,,,,,60–70%
deepseek-v4-pro,2,Quant-100,7,0,0,,,,,,,70–80%
deepseek-v4-pro,2,Quant-100,8,1,1,0.85,0.85,0.85,1.0,0.20654931437723745,1.0,80–90%
deepseek-v4-pro,2,Quant-100,9,91,11,0.9977912087912089,0.9,1.0,0.12087912087912088,0.06885508485107264,0.20361498406203435,90–100%
deepseek-v4-pro,2,QP6,0,8,6,0.0,0.0,0.0,0.75,0.40927543031016883,0.9285207872478909,0–10%
deepseek-v4-pro,2,QP6,1,0,0,,,,,,,10–20%
deepseek-v4-pro,2,QP6,2,0,0,,,,,,,20–30%
deepseek-v4-pro,2,QP6,3,0,0,,,,,,,30–40%
deepseek-v4-pro,2,QP6,4,0,0,,,,,,,40–50%
deepseek-v4-pro,2,QP6,5,0,0,,,,,,,50–60%
deepseek-v4-pro,2,QP6,6,0,0,,,,,,,60–70%
deepseek-v4-pro,2,QP6,7,0,0,,,,,,,70–80%
deepseek-v4-pro,2,QP6,8,0,0,,,,,,,80–90%
deepseek-v4-pro,2,QP6,9,90,5,0.9983333333333333,0.95,1.0,0.05555555555555555,0.023960971616961965,0.12353736221799518,90–100%
deepseek-v4-pro,2,QP7,0,7,7,0.0,0.0,0.0,1.0,0.6456695649333126,1.0,0–10%
deepseek-v4-pro,2,QP7,1,0,0,,,,,,,10–20%
deepseek-v4-pro,2,QP7,2,0,0,,,,,,,20–30%
deepseek-v4-pro,2,QP7,3,0,0,,,,,,,30–40%
deepseek-v4-pro,2,QP7,4,0,0,,,,,,,40–50%
deepseek-v4-pro,2,QP7,5,0,0,,,,,,,50–60%
deepseek-v4-pro,2,QP7,6,0,0,,,,,,,60–70%
deepseek-v4-pro,2,QP7,7,0,0,,,,,,,70–80%
deepseek-v4-pro,2,QP7,8,0,0,,,,,,,80–90%
deepseek-v4-pro,2,QP7,9,87,8,0.9964367816091954,0.9,1.0,0.09195402298850575,0.047332892255086745,0.17108564789471262,90–100%
gemini-3.1-flash-lite-preview,1,Quant-25,0,0,0,,,,,,,0–10%
gemini-3.1-flash-lite-preview,1,Quant-25,1,2,2,0.1,0.1,0.1,1.0,0.34238022750665303,1.0,10–20%
gemini-3.1-flash-lite-preview,1,Quant-25,2,2,2,0.2,0.2,0.2,1.0,0.34238022750665303,1.0,20–30%
gemini-3.1-flash-lite-preview,1,Quant-25,3,0,0,,,,,,,30–40%
gemini-3.1-flash-lite-preview,1,Quant-25,4,0,0,,,,,,,40–50%
gemini-3.1-flash-lite-preview,1,Quant-25,5,0,0,,,,,,,50–60%
gemini-3.1-flash-lite-preview,1,Quant-25,6,2,1,0.6,0.6,0.6,0.5,0.09453120573423074,0.9054687942657693,60–70%
gemini-3.1-flash-lite-preview,1,Quant-25,7,1,1,0.7,0.7,0.7,1.0,0.20654931437723745,1.0,70–80%
gemini-3.1-flash-lite-preview,1,Quant-25,8,10,6,0.8150000000000001,0.8,0.85,0.6,0.31267376973365824,0.8318196702937638,80–90%
gemini-3.1-flash-lite-preview,1,Quant-25,9,83,9,0.9686746987951808,0.9,1.0,0.10843373493975904,0.058104915192981194,0.19340466464711883,90–100%
gemini-3.1-flash-lite-preview,1,Quant-100,0,1,1,0.05,0.05,0.05,1.0,0.20654931437723745,1.0,0–10%
gemini-3.1-flash-lite-preview,1,Quant-100,1,3,3,0.10000000000000002,0.1,0.1,1.0,0.4385029682449546,1.0,10–20%
gemini-3.1-flash-lite-preview,1,Quant-100,2,1,1,0.2,0.2,0.2,1.0,0.20654931437723745,1.0,20–30%
gemini-3.1-flash-lite-preview,1,Quant-100,3,0,0,,,,,,,30–40%
gemini-3.1-flash-lite-preview,1,Quant-100,4,0,0,,,,,,,40–50%
gemini-3.1-flash-lite-preview,1,Quant-100,5,0,0,,,,,,,50–60%
gemini-3.1-flash-lite-preview,1,Quant-100,6,0,0,,,,,,,60–70%
gemini-3.1-flash-lite-preview,1,Quant-100,7,2,2,0.7,0.7,0.7,1.0,0.34238022750665303,1.0,70–80%
gemini-3.1-flash-lite-preview,1,Quant-100,8,10,3,0.8150000000000001,0.8,0.85,0.3,0.10779126740630099,0.6032218525388546,80–90%
gemini-3.1-flash-lite-preview,1,Quant-100,9,83,5,0.9734939759036144,0.9,1.0,0.060240963855421686,0.026003401041882007,0.13338428093238414,90–100%
gemini-3.1-flash-lite-preview,1,QP6,0,2,2,0.0,0.0,0.0,1.0,0.34238022750665303,1.0,0–10%
gemini-3.1-flash-lite-preview,1,QP6,1,1,1,0.1,0.1,0.1,1.0,0.20654931437723745,1.0,10–20%
gemini-3.1-flash-lite-preview,1,QP6,2,0,0,,,,,,,20–30%
gemini-3.1-flash-lite-preview,1,QP6,3,0,0,,,,,,,30–40%
gemini-3.1-flash-lite-preview,1,QP6,4,0,0,,,,,,,40–50%
